sample_id,cell_line,drug,dosage,split
AML001_PC3_6H:BRD-A45664787:10,PC3,CC#CCC(C)[C@H](O)\C=C\[C@H]1[C@H](O)C[C@@H]2C\C(C[C@H]12)=C/CCCC(O)=O,1.04139268515823,test
CPC001_PC3_6H:BRD-A03359064-001-01-5:10,PC3,OC(CNCCNC(=O)Nc1ccccc1)COc1ccccc1C#N,1.04139268515823,train
CPC001_PC3_6H:BRD-A09828896-004-04-5:10,PC3,Oc1cc2C(CNCCc2c(Cl)c1O)c1ccccc1,1.04139268515823,train
CPC001_PC3_6H:BRD-A15530910-001-01-3:10,PC3,CC(C)OC(=O)c1cc2c(OCC(O)CNC(C)(C)C)cccc2[nH]1,1.04139268515823,train
CPC001_PC3_6H:BRD-A24429032-003-01-6:10,PC3,Oc1ccc(CCNCC2CCc3ccccc3C2=O)cc1,1.04139268515823,train
CPC001_PC3_6H:BRD-A38898897-003-01-0:10,PC3,CC(C)C1[C@H]2[C@@H](CCN2C(=O)/C=C/CN3CCCCC3)N(C1=O)S(=O)(=O)C,1.04139268515823,train
CPC001_PC3_6H:BRD-A39522003-001-01-0:10,PC3,CCCCCCCCC=CCCCCCCCC(=O)NC(CO)Cc1ccc(O)cc1,1.04139268515823,train
CPC001_PC3_6H:BRD-A39747742-001-03-5:10,PC3,CCCCC(=O)O[C@H]1CCC2C3CCc4cc(O)ccc4C3CC[C@]12C,1.04139268515823,test
CPC001_PC3_6H:BRD-A43930669-003-01-0:10,PC3,Cc1ccccc1N1CCN(CC1)S(=O)(=O)CC12CCC(C[C@@H]1NC(=O)[C@@H](N)CCS(C)(=O)=O)C2(C)C,1.04139268515823,test
CPC001_PC3_6H:BRD-A47633927-001-01-8:10,PC3,CC(C)CC(NC(=O)OCC1c2ccccc2-c3ccccc13)C(=O)O,1.04139268515823,train
CPC001_PC3_6H:BRD-A54029483-001-01-5:10,PC3,CN(C(Cc1ccc(cc1)c2ccccc2)C(=O)NC(Cc3c[nH]c4ccccc34)C(=O)O)C(=O)c5cc(C)cc(C)c5,1.04139268515823,train
CPC001_PC3_6H:BRD-A54927599-001-07-8:10,PC3,COc1ccc(C2CC(=NCCS2)c2c(O)cc(C)oc2=O)c(OC)c1,1.04139268515823,train
CPC001_PC3_6H:BRD-A64227845-004-02-8:10,PC3,Oc1cc2CCN(CC=C)CC(c3ccccc3)c2cc1O,1.04139268515823,test
CPC001_PC3_6H:BRD-A75478957-001-01-6:10,PC3,CC(C)C(NS(=O)(=O)c1ccc(cc1)c2ccc(Br)cc2)C(=O)O,1.04139268515823,train
CPC001_PC3_6H:BRD-A80641450-001-01-4:10,PC3,CC(C)CC(NC(=O)N1CCCCCC1)C(=O)NC(Cc2cn(C)c3ccccc23)C(=O)NC(Cc4ccccn4)C(=O)O,1.04139268515823,train
CPC001_PC3_6H:BRD-A81177136-001-03-6:10,PC3,CN(C(Cc1ccc(OS(=O)(=O)c2cccc3cnccc23)cc1)C(=O)N4CCN(CC4)c5ccccc5)S(=O)(=O)c6cccc7cnccc67,1.04139268515823,train
CPC001_PC3_6H:BRD-A82590476-001-01-1:10,PC3,CN(Cc1ccccc1)C(=O)C(Cc2ccc3ccccc3c2)NC(=O)C4CCCN4C(=O)Nc5ccccc5[N+](=O)[O-],1.04139268515823,test
CPC001_PC3_6H:BRD-K00486786-001-01-4:10,PC3,Cc1cc2nc3c(nc(=O)[nH]c3=O)n(C)c2cc1C=O,1.04139268515823,train
CPC001_PC3_6H:BRD-K04414442-001-03-4:10,PC3,CC[C@H](NC(=O)c1c(C)c(nc2ccccc12)-c1ccccc1)c1ccccc1,1.04139268515823,train
CPC001_PC3_6H:BRD-K05151076-001-01-8:10,PC3,CCCCCS(=O)(=O)CCCCCCCCCCn1c(c(C)c2cc(O)ccc12)-c1ccc(O)cc1,1.04139268515823,train
CPC001_PC3_6H:BRD-K05181084-003-02-9:10,PC3,Clc1cccc(N2CCN(CCCCNC(=O)c3ccc-4c(Cc5ccccc-45)c3)CC2)c1Cl,1.04139268515823,train
CPC001_PC3_6H:BRD-K09635314-001-01-8:10,PC3,Cc1cc(C)c(c(C)c1)S(=O)(=O)Nc1cccc(c1)C(F)(F)F,1.04139268515823,train
CPC001_PC3_6H:BRD-K09638361-001-01-4:10,PC3,COc1cc(OC)c(/C=C\2/C(=O)Nc3ccccc23)c(OC)c1,1.04139268515823,test
