,source,target,stimulation,inhibition,mode_of_action
0,Q13255,P48995,1,0,1.0
1,O75762,Q9NQC7,0,0,0.1
2,P49137,Q16539,0,0,0.1
3,Q16539,P49137,1,0,1.0
4,P49137,O95453,0,1,-1.0
5,P49757,P46531,0,1,-1.0
6,P31749,O15111,1,0,1.0
7,O15111,P19838,1,0,1.0
8,P19838,O15111,0,0,0.1
9,P38936,P06493,0,1,-1.0
10,P08069,P05019,0,0,0.1
11,P50281,P08253,1,0,1.0
12,P00519,O15350,1,0,1.0
13,Q93009,Q00987,1,0,1.0
14,Q93009,O15151,1,0,1.0
15,Q14676,O76064,1,0,1.0
16,O60260,P49792,0,1,-1.0
17,O60260,P37840,0,1,-1.0
18,P60484,Q70Z35,0,0,0.1
19,Q70Z35,P60484,0,1,-1.0
20,P04049,P30086,0,0,0.1
21,P30086,P04049,1,0,1.0
22,Q969H0,P01106,0,1,-1.0
23,Q13153,P49023,1,0,1.0
24,Q96Q15,Q92900,1,0,1.0
25,P45983,P45985,0,0,0.1
26,P45985,P45983,1,0,1.0
27,O75143,O75385,0,0,0.1
28,O75385,O75143,1,0,1.0
29,O75385,Q8TDY2,1,0,1.0
30,Q8TDY2,O75385,0,0,0.1
31,P42345,O75143,0,1,-1.0
32,O75143,Q8TDY2,1,0,1.0
33,P42345,Q8IYT8,0,1,-1.0
34,Q14457,Q99570,1,0,1.0
35,Q13009,P63000,1,0,1.0
36,P01112,Q13009,1,0,1.0
37,Q13009,P01112,0,0,0.1
38,P42345,Q8N122,1,0,1.0
39,Q8N122,P42345,0,0,0.1
40,P31749,Q96B36,0,1,-1.0
41,P53355,Q96RR4,0,1,-1.0
42,P42345,Q9BVC4,0,0,0.1
43,Q9BVC4,P42345,0,0,0.1
44,O75143,Q8IYT8,0,0,0.1
45,Q8IYT8,O75143,1,0,1.0
46,Q07817,Q14457,0,0,0.1
47,Q14457,Q07817,0,0,0.1
48,Q96B36,Q8N122,0,1,-1.0
49,P42345,Q96B36,0,1,-1.0
50,Q96B36,P42345,0,0,0.1
51,Q8IYT8,Q8TDY2,1,0,1.0
